Player,Team,BYE,POS,Age,Key,FO ID,Risk,Fpts
Earl Mitchell,MIA,5,IDP-DT,28,Earl Mitchell|MIA|IDP-DT,MitchellEar10,Yellow,38
Kawann Short,CAR,5,IDP-DT,26,Kawann Short|CAR|IDP-DT,ShortKaw13,Yellow,38
Corey Peters,ARI,9,IDP-DT,27,Corey Peters|ARI|IDP-DT,PetersCor10,Yellow,37
Terrance Knighton,WAS,8,IDP-DT,29,Terrance Knighton|WAS|IDP-DT,KnightonTer09,Yellow,37
Malcom Brown,NE,4,IDP-DT,21,Malcom Brown|NE|IDP-DT,BrownMal15,Yellow,37
Tony McDaniel,SEA,9,IDP-DT,30,Tony McDaniel|SEA|IDP-DT,McDanielTon06,Yellow,36
Nick Hayden,DAL,6,IDP-DT,29,Nick Hayden|DAL|IDP-DT,HaydenNic08,Yellow,36
Sammie Lee Hill,TEN,4,IDP-DT,29,Sammie Lee Hill|TEN|IDP-DT,HillSam09,Yellow,36
Brandon Mebane,SEA,9,IDP-DT,30,Brandon Mebane|SEA|IDP-DT,MebaneBra07,Yellow,35
Dontari Poe,KC,9,IDP-DT,25,Dontari Poe|KC|IDP-DT,PoeDon12,Red,31
